Implementation,CPU_Count,Matrix_Size,Iterations,t_min(s),t_max(s),t_avg(s),stddev(%)
DeepSpeed,1,256,10,0.000082,0.000144,0.000092,19.85
DeepSpeed,2,256,10,0.000140,0.010608,0.003000,121.99
DeepSpeed,4,256,10,0.028306,0.039144,0.035741,9.19
DeepSpeed,8,256,10,0.073280,0.100385,0.086729,7.95
DeepSpeed,1,512,10,0.000216,0.000411,0.000253,21.73
DeepSpeed,2,512,10,0.006148,0.011580,0.007091,21.44
DeepSpeed,4,512,10,0.029392,0.041095,0.036194,8.99
DeepSpeed,8,512,10,0.079321,0.089408,0.086369,3.15
DeepSpeed,1,1024,10,0.001244,0.001920,0.001587,15.87
DeepSpeed,2,1024,10,0.007547,0.012979,0.009253,19.85
DeepSpeed,4,1024,10,0.031376,0.044357,0.037352,11.75
DeepSpeed,8,1024,10,0.084626,0.091440,0.088343,1.89
DeepSpeed,1,2048,10,0.006221,0.008170,0.007221,10.41
DeepSpeed,2,2048,10,0.009825,0.024287,0.015022,23.27
DeepSpeed,4,2048,10,0.038168,0.048239,0.043056,6.29
DeepSpeed,8,2048,10,0.093291,0.103324,0.096309,2.69
DeepSpeed,1,4096,10,0.046860,0.050222,0.049104,1.81
DeepSpeed,2,4096,10,0.056919,0.065019,0.060882,3.71
DeepSpeed,4,4096,10,0.086618,0.092732,0.090129,2.13
DeepSpeed,8,4096,10,0.139219,0.143928,0.141663,0.91
DeepSpeed,1,8192,10,0.211731,0.215379,0.213972,0.50
DeepSpeed,2,8192,10,0.276418,0.371875,0.323417,9.66
DeepSpeed,4,8192,10,1.097286,1.532788,1.368727,8.32
DeepSpeed,8,8192,10,0.526327,0.639612,0.574505,5.87
DeepSpeed,1,16384,10,1.509218,1.585095,1.536060,1.30
DeepSpeed,2,16384,10,1.799446,2.044555,1.874999,3.93
DeepSpeed,4,16384,10,5.431850,6.476644,6.053409,5.20
DeepSpeed,8,16384,10,10.463113,10.959766,10.670831,1.14
