Implementation,CPU_Count,Matrix_Size,Iterations,t_min(s),t_max(s),t_avg(s),stddev(%)
mpi4py,1,256,10,0.000265,0.000304,0.000276,4.00
mpi4py,2,256,10,0.000134,0.000273,0.000214,15.19
mpi4py,4,256,10,0.000182,0.000275,0.000202,13.20
mpi4py,8,256,10,0.000285,0.000474,0.000350,15.46
mpi4py,1,512,10,0.001793,0.001993,0.001858,2.80
mpi4py,2,512,10,0.001287,0.015281,0.004114,113.65
mpi4py,4,512,10,0.012568,0.052014,0.029437,41.21
mpi4py,8,512,10,0.030997,0.062961,0.049088,17.04
mpi4py,1,1024,10,0.046146,0.082929,0.061410,20.81
mpi4py,2,1024,10,0.027055,0.052001,0.034665,24.05
mpi4py,4,1024,10,0.028629,0.090069,0.053379,39.25
mpi4py,8,1024,10,0.003918,0.005923,0.004244,13.50
mpi4py,1,2048,10,0.092519,0.140786,0.104178,15.65
mpi4py,2,2048,10,0.051949,0.054109,0.052343,1.16
mpi4py,4,2048,10,0.031869,0.036105,0.033458,4.15
mpi4py,8,2048,10,0.021222,0.034680,0.025840,16.41
mpi4py,1,4096,10,1.406635,5.346675,3.314961,44.84
mpi4py,2,4096,10,0.410606,3.667935,1.808490,60.74
mpi4py,4,4096,10,0.244601,2.562007,1.656598,50.57
mpi4py,8,4096,10,0.258372,2.123953,1.298869,59.57
mpi4py,1,8192,10,5.606381,5.614698,5.608435,0.04
mpi4py,2,8192,10,2.918239,2.940641,2.926493,0.27
mpi4py,4,8192,10,1.599126,1.606555,1.601743,0.15
mpi4py,8,8192,10,0.922803,0.925630,0.923862,0.09
mpi4py,1,16384,10,44.234952,44.420085,44.338929,0.10
mpi4py,2,16384,10,22.920181,22.960995,22.942457,0.06
mpi4py,4,16384,10,11.876928,11.927099,11.894616,0.12
mpi4py,8,16384,10,6.470650,6.485846,6.475960,0.06
